ball_x,ball_y,ball_vx,ball_vy,left_y,right_y,left_action,right_action,left_scored,right_scored
403.874,296.839,3.874,-3.161,260,260,0,0,0,0
407.749,293.679,3.874,-3.161,260,260,0,0,0,0
411.623,290.518,3.874,-3.161,260,260,0,0,0,0
415.497,287.357,3.874,-3.161,260,260,0,0,0,0
419.371,284.196,3.874,-3.161,260,260,0,0,0,0
423.246,281.036,3.874,-3.161,260,260,0,0,0,0
427.12,277.875,3.874,-3.161,260,260,0,0,0,0
430.994,274.714,3.874,-3.161,260,260,0,0,0,0
434.868,271.553,3.874,-3.161,260,260,0,0,0,0
438.743,268.393,3.874,-3.161,260,260,0,0,0,0
442.617,265.232,3.874,-3.161,260,260,0,0,0,0
446.491,262.071,3.874,-3.161,260,260,0,0,0,0
450.365,258.911,3.874,-3.161,260,260,0,0,0,0
454.24,255.75,3.874,-3.161,260,260,0,0,0,0
458.114,252.589,3.874,-3.161,260,260,0,0,0,0
461.988,249.428,3.874,-3.161,260,260,0,0,0,0
465.862,246.268,3.874,-3.161,260,260,0,0,0,0
469.737,243.107,3.874,-3.161,260,260,0,0,0,0
473.611,239.946,3.874,-3.161,260,260,0,0,0,0
477.485,236.786,3.874,-3.161,260,260,0,0,0,0
481.359,233.625,3.874,-3.161,260,260,0,0,0,0
485.234,230.464,3.874,-3.161,260,260,0,0,0,0
489.108,227.303,3.874,-3.161,260,260,0,0,0,0
492.982,224.143,3.874,-3.161,260,260,0,0,0,0
496.856,220.982,3.874,-3.161,260,260,0,0,0,0
500.731,217.821,3.874,-3.161,260,260,0,0,0,0
504.605,214.66,3.874,-3.161,260,260,0,0,0,0
508.479,211.5,3.874,-3.161,260,260,0,0,0,0
512.353,208.339,3.874,-3.161,260,260,0,0,0,0
516.228,205.178,3.874,-3.161,260,260,0,0,0,0
520.102,202.018,3.874,-3.161,260,260,0,0,0,0
523.976,198.857,3.874,-3.161,260,260,0,0,0,0
527.85,195.696,3.874,-3.161,260,260,0,0,0,0
531.725,192.535,3.874,-3.161,260,260,0,0,0,0
535.599,189.375,3.874,-3.161,260,260,0,0,0,0
539.473,186.214,3.874,-3.161,260,260,0,0,0,0
543.347,183.053,3.874,-3.161,260,255,0,-1,0,0
547.222,179.892,3.874,-3.161,260,250,0,-1,0,0
551.096,176.732,3.874,-3.161,260,245,0,-1,0,0
554.97,173.571,3.874,-3.161,260,240,0,-1,0,0
558.844,170.41,3.874,-3.161,260,235,0,-1,0,0
562.719,167.25,3.874,-3.161,260,230,0,-1,0,0
566.593,164.089,3.874,-3.161,260,225,0,-1,0,0
570.467,160.928,3.874,-3.161,260,220,0,-1,0,0
574.341,157.767,3.874,-3.161,260,215,0,-1,0,0
578.216,154.607,3.874,-3.161,260,210,0,-1,0,0
582.09,151.446,3.874,-3.161,260,205,0,-1,0,0
585.964,148.285,3.874,-3.161,260,200,0,-1,0,0
589.838,145.125,3.874,-3.161,260,195,0,-1,0,0
593.713,141.964,3.874,-3.161,260,190,0,-1,0,0
597.587,138.803,3.874,-3.161,260,185,0,-1,0,0
601.461,135.642,3.874,-3.161,260,180,0,-1,0,0
605.335,132.482,3.874,-3.161,260,175,0,-1,0,0
609.21,129.321,3.874,-3.161,260,170,0,-1,0,0
613.084,126.16,3.874,-3.161,260,165,0,-1,0,0
616.958,122.999,3.874,-3.161,260,160,0,-1,0,0
620.832,119.839,3.874,-3.161,260,155,0,-1,0,0
624.707,116.678,3.874,-3.161,260,150,0,-1,0,0
628.581,113.517,3.874,-3.161,260,145,0,-1,0,0
632.455,110.357,3.874,-3.161,260,140,0,-1,0,0
636.329,107.196,3.874,-3.161,260,135,0,-1,0,0
